,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,price
39,2014-12-09,3.0,1.75,1910,8329,1.0,False,3,8,1910,0,2004,0,98022,47.19,-122.016,323000.0
40,2014-05-28,4.0,1.75,2330,4000,2.0,False,5,8,1300,1030,1924,0,98105,47.666000000000004,-122.289,840000.0
41,2015-03-25,3.0,1.75,1420,6984,1.0,False,4,7,980,440,1980,0,98030,47.3748,-122.18,240000.0
42,2014-06-17,4.0,2.5,1670,3315,2.0,False,3,7,1670,0,2005,0,98029,47.5532,-121.99799999999999,451000.0
43,2014-11-19,1.0,2.0,1240,4800,2.0,False,3,6,1240,0,1910,0,98055,47.4778,-122.211,290000.0
44,2014-05-28,3.0,3.75,3890,7140,1.0,False,3,8,2390,1500,1943,2007,98178,47.5073,-122.23899999999999,430000.0
45,2014-06-03,5.0,2.5,2090,4698,2.0,False,3,7,2090,0,1998,0,98038,47.3538,-122.025,315000.0
46,2014-07-02,4.0,3.25,4040,18916,1.0,False,4,9,4040,0,1954,0,98039,47.6155,-122.238,2271150.0
47,2014-06-19,5.0,3.0,3880,13000,2.0,False,3,10,3880,0,1972,2003,98040,47.5467,-122.234,1815000.0
48,2014-07-10,6.0,2.75,2980,5000,1.5,False,3,7,2480,500,1916,0,98103,47.6684,-122.331,775000.0
49,2014-12-10,3.0,1.0,1060,8000,1.0,False,4,6,1060,0,1927,0,98002,47.305,-122.21799999999999,160000.0
50,2014-08-08,3.0,2.25,1860,7200,1.0,False,4,7,1240,620,1977,0,98034,47.7332,-122.19200000000001,445000.0
51,2014-08-22,3.0,1.0,1200,6628,1.0,False,4,7,1200,0,1952,0,98155,47.7367,-122.319,345000.0
52,2015-01-13,4.0,2.5,2990,6037,2.0,False,3,9,2990,0,2013,0,98045,47.4766,-121.735,594491.0
53,2014-05-09,4.0,1.5,1470,70800,1.0,False,3,7,1470,0,1976,0,98010,47.3458,-121.948,325000.0
54,2015-03-12,3.0,2.0,1800,43995,2.0,False,3,8,1800,0,1988,0,98077,47.7585,-122.022,539000.0
55,2014-08-06,2.0,1.0,1120,217800,1.0,False,3,6,1120,0,1976,0,98019,47.7378,-121.912,290000.0
56,2014-12-11,4.0,2.25,2020,4840,1.5,False,5,8,1200,820,1925,0,98126,47.5576,-122.376,430000.0
57,2015-02-20,4.0,2.5,2280,9491,1.0,False,4,7,1290,990,1966,0,98008,47.6297,-122.117,575000.0
58,2014-05-20,4.0,2.5,3230,7331,2.0,False,3,10,3230,0,2004,0,98075,47.5823,-121.97,730000.0
59,2015-04-23,4.0,3.0,2490,4325,1.5,False,3,8,1690,800,1922,2003,98105,47.6628,-122.32600000000001,1081000.0
60,2014-06-05,3.0,2.0,1330,8100,1.0,False,4,7,1330,0,1969,0,98034,47.7251,-122.175,386000.0
61,2014-06-13,4.0,2.5,2010,7972,2.0,False,4,8,2010,0,1989,0,98029,47.5782,-122.01799999999999,590000.0
62,2014-05-30,3.0,1.75,2580,11000,1.0,False,4,7,1290,1290,1951,0,98006,47.5646,-122.181,459900.0
63,2014-10-07,2.0,1.0,1570,4704,1.5,False,3,8,1570,0,1931,0,98136,47.5256,-122.39200000000001,502000.0
64,2014-11-25,4.0,2.5,2578,4554,2.0,False,3,9,2578,0,2014,0,98092,47.2603,-122.194,400950.0
65,2014-11-12,4.0,2.25,3010,9800,2.0,False,4,9,3010,0,1973,0,98040,47.5336,-122.223,980000.0
66,2014-07-29,3.0,1.0,902,10464,1.0,False,3,7,902,0,1965,0,98198,47.363,-122.30799999999999,152000.0
67,2014-08-08,3.0,1.75,1350,9793,1.0,False,4,7,1350,0,1968,0,98022,47.1981,-122.00299999999999,225000.0
68,2014-06-16,3.0,1.5,1230,8056,1.0,False,4,6,1230,0,1949,0,98168,47.4878,-122.314,150000.0
69,2015-03-26,4.0,2.75,4430,74358,2.0,False,3,10,4430,0,1990,0,98053,47.6392,-121.988,970000.0
70,2014-06-24,4.0,2.5,3190,8195,2.0,False,3,10,3190,0,2006,0,98038,47.3555,-122.00299999999999,589950.0
71,2015-05-01,4.0,2.75,2170,9743,2.0,False,3,7,2170,0,1995,0,98038,47.3814,-122.024,366000.0
72,2014-10-28,4.0,3.0,3640,5096,2.0,False,3,8,2740,900,2010,0,98118,47.5428,-122.27,630000.0
73,2014-08-01,4.0,3.0,4190,8805,2.5,False,5,9,3490,700,1928,0,98112,47.6181,-122.28399999999999,2546000.0
74,2015-03-04,4.0,2.5,2160,8158,1.0,False,4,8,1660,500,1952,0,98115,47.6948,-122.32799999999999,585000.0
75,2014-08-20,3.0,2.25,2340,6183,1.0,False,3,7,1210,1130,1929,0,98115,47.6979,-122.31,510000.0
76,2014-10-09,3.0,2.5,2130,7199,2.0,False,3,8,2130,0,1990,0,98074,47.6331,-122.027,546500.0
77,2015-03-13,4.0,3.5,3130,3900,2.0,False,3,9,2550,580,2008,0,98115,47.6849,-122.32700000000001,1389000.0
78,2015-03-17,3.0,1.75,1090,7647,1.0,False,3,7,1090,0,1994,0,98003,47.2613,-122.302,236000.0
79,2014-11-24,4.0,2.5,2580,4818,2.0,False,3,8,2580,0,2005,0,98038,47.3607,-122.038,379950.0
80,2014-07-29,4.0,2.5,1850,5880,2.0,False,3,8,1850,0,1998,0,98092,47.3322,-122.17299999999999,277000.0
81,2015-03-23,4.0,3.5,2700,443440,1.5,False,3,8,2700,0,1948,1997,98042,47.333,-122.098,569950.0
82,2015-04-27,4.0,3.25,2930,25020,2.0,False,3,9,2930,0,2013,0,98029,47.5514,-122.023,1050000.0
83,2015-04-27,2.0,2.25,1240,705,2.0,False,3,7,1150,90,2009,0,98027,47.5321,-122.073,352499.0
84,2015-02-27,2.0,2.25,1300,2104,2.0,False,3,8,1010,290,2011,0,98136,47.5477,-122.38799999999999,394950.0
85,2015-04-06,2.0,1.5,990,1380,3.0,False,3,7,990,0,2001,0,98133,47.7218,-122.35600000000001,285000.0
86,2014-10-23,3.0,2.5,1500,7420,1.0,False,3,7,1000,500,1972,0,98034,47.7236,-122.17399999999999,379000.0
87,2014-06-04,3.0,1.75,1770,33224,1.0,False,4,8,1770,0,1968,0,98092,47.3377,-122.194,229500.0
88,2014-07-02,3.0,2.5,1900,7984,2.0,False,3,8,1900,0,1993,0,98011,47.7433,-122.194,435000.0
89,2015-01-08,4.0,3.0,3680,35736,1.5,False,4,8,2320,1360,1970,0,98027,47.4703,-122.015,595000.0
90,2014-05-07,5.0,2.5,2420,8560,1.0,False,3,7,1620,800,1978,0,98118,47.532,-122.285,352000.0
91,2014-09-24,3.0,1.75,1790,5120,1.0,False,4,6,940,850,1949,0,98106,47.5277,-122.355,335000.0
92,2015-04-16,2.0,1.0,1000,7615,1.0,False,4,6,1000,0,1943,0,98056,47.49,-122.191,231500.0
93,2014-07-11,3.0,1.75,1640,53400,1.0,False,4,7,1640,0,1966,0,98070,47.3944,-122.506,319000.0
94,2015-02-13,3.0,1.0,1270,7500,1.0,False,3,6,1270,0,1954,0,98198,47.4214,-122.316,196900.0
95,2014-10-06,6.0,3.75,4090,49542,2.0,False,3,9,3100,990,1984,0,98005,47.6408,-122.15299999999999,1150000.0
96,2015-04-21,4.0,2.5,2940,9172,2.0,False,3,9,2940,0,2006,0,98001,47.3444,-122.26899999999999,480000.0
97,2015-02-19,2.0,1.0,1210,7667,1.0,False,3,6,900,310,1950,0,98199,47.6571,-122.396,529000.0
98,2015-04-03,3.0,2.5,1608,4000,2.0,False,3,8,1608,0,2014,0,98092,47.2582,-122.198,274950.0
99,2014-09-05,4.0,2.5,2840,18001,2.0,False,3,9,2840,0,1994,0,98019,47.7359,-121.962,500000.0
100,2015-03-30,3.0,1.0,1150,10132,1.0,False,4,7,1150,0,1970,0,98023,47.3172,-122.37200000000001,200000.0
101,2014-08-14,3.0,1.0,1360,3880,1.0,False,3,7,1060,300,1963,0,98117,47.6837,-122.391,466950.0
102,2014-05-02,3.0,2.5,2540,5050,2.0,False,3,7,2540,0,2006,0,98042,47.3358,-122.055,300000.0
103,2014-08-22,2.0,1.75,1250,7680,1.0,False,3,7,1250,0,1922,1968,98126,47.5242,-122.37100000000001,400000.0
104,2015-05-08,4.0,2.75,2300,26650,1.0,False,4,8,2300,0,1950,0,98177,47.7771,-122.36200000000001,525000.0
105,2015-02-18,4.0,2.5,3930,21894,2.0,False,3,11,3930,0,1987,0,98052,47.7209,-122.12799999999999,1093000.0
106,2014-06-25,2.0,1.0,900,2910,1.0,False,5,7,900,0,1924,0,98115,47.6859,-122.322,381500.0
107,2014-09-11,3.0,2.0,2010,4320,2.0,False,3,9,2010,0,1999,0,98118,47.5153,-122.256,699000.0
108,2014-06-23,5.0,2.0,2130,4180,1.5,False,5,7,1270,860,1926,0,98116,47.575,-122.38799999999999,615000.0
109,2014-07-15,3.0,2.5,2050,11690,2.0,False,4,9,2050,0,1989,0,98059,47.5279,-122.161,585000.0
110,2014-07-15,3.0,2.0,1470,8000,1.0,False,4,8,1470,0,1974,0,98023,47.3191,-122.385,245000.0
111,2015-04-14,3.0,2.5,1500,7401,2.0,False,3,8,1500,0,1998,0,98092,47.2625,-122.221,260000.0
112,2014-07-24,4.0,2.25,2150,9520,2.0,False,4,8,2150,0,1979,0,98052,47.6885,-122.113,573000.0
113,2015-03-31,3.0,1.75,1790,6775,1.0,False,3,8,1790,0,1951,0,98126,47.5412,-122.37700000000001,485000.0
114,2015-04-30,3.0,2.0,1290,13282,1.0,False,3,7,1290,0,1978,0,98030,47.3787,-122.169,255000.0
115,2015-02-12,3.0,3.5,3500,9473,2.0,False,3,10,3500,0,2008,0,98075,47.5807,-121.97200000000001,797000.0
116,2014-10-16,4.0,1.0,2150,3588,2.0,False,4,8,1850,300,1926,0,98126,47.5767,-122.37799999999999,810000.0
117,2014-12-22,3.0,1.5,1810,18483,1.0,False,3,8,1810,0,1954,0,98177,47.7617,-122.37799999999999,520000.0
118,2014-09-18,3.0,2.5,3260,91911,2.0,False,4,9,3260,0,1984,0,98077,47.736999999999995,-122.074,850000.0
119,2015-03-19,3.0,2.0,2190,19800,1.0,False,3,7,2190,0,1994,0,98146,47.5106,-122.365,464950.0
120,2014-07-30,2.0,1.0,980,4120,1.0,False,3,7,830,150,1950,2014,98115,47.6815,-122.291,535000.0
121,2014-12-02,3.0,2.5,2160,59241,1.0,False,3,7,2160,0,2007,0,98042,47.3304,-122.13,389900.0
122,2014-06-23,3.0,3.75,1950,8625,1.0,False,3,8,1360,590,1959,0,98178,47.505,-122.258,345100.0
123,2014-12-17,4.0,2.25,2900,9680,2.0,False,3,7,1990,910,1947,0,98125,47.7037,-122.30799999999999,630000.0
124,2014-07-28,4.0,3.5,5860,7200,2.0,False,5,10,3690,2170,1907,0,98112,47.6287,-122.287,2400000.0
125,2015-02-17,3.0,1.75,2280,77972,1.0,False,3,8,1460,820,1977,0,98059,47.4804,-122.15100000000001,749700.0
126,2015-04-06,4.0,2.25,3040,10283,1.0,False,4,8,1430,1610,1984,0,98074,47.6268,-122.038,540000.0
127,2014-09-12,3.0,3.0,2640,5978,2.0,False,3,9,2640,0,2012,0,98045,47.4759,-121.735,535000.0
128,2014-09-16,3.0,1.0,1620,5040,1.0,False,3,7,1120,500,1964,0,98118,47.5263,-122.286,333000.0
129,2015-03-31,3.0,2.5,2424,5931,2.0,False,3,9,2424,0,2014,0,98042,47.3515,-122.134,375000.0
130,2014-11-19,3.0,2.25,2180,9246,2.0,False,3,9,2180,0,1984,0,98074,47.6215,-122.031,570000.0
131,2014-06-24,3.0,2.75,1310,7300,1.0,False,3,7,1310,0,1957,0,98008,47.6016,-122.12299999999999,405000.0
132,2014-05-29,4.0,2.5,2440,22594,2.0,False,3,8,2440,0,1996,0,98053,47.6333,-121.97,565000.0
133,2015-04-07,3.0,1.0,1060,12000,1.0,False,3,7,1060,0,1952,0,98133,47.7703,-122.35,400000.0
134,2015-03-06,4.0,1.75,1970,8390,1.0,False,3,7,1140,830,1955,0,98178,47.4861,-122.251,265000.0
135,2014-08-27,3.0,2.5,3080,8448,2.0,False,3,9,3080,0,2000,0,98199,47.6469,-122.389,950000.0
136,2015-02-27,4.0,2.5,2550,10623,2.0,False,3,9,2550,0,1992,0,98029,47.5695,-121.992,612500.0
137,2014-06-02,3.0,1.75,2160,6272,1.0,False,4,8,1390,770,1960,0,98115,47.6777,-122.306,820000.0
138,2014-12-13,3.0,2.5,1610,1356,2.0,False,3,8,1240,370,2007,0,98106,47.5257,-122.361,320000.0
139,2015-01-16,3.0,1.0,1560,4500,1.5,False,3,7,1560,0,1903,0,98122,47.6118,-122.306,415000.0
140,2014-08-14,2.0,1.0,720,5160,1.0,False,3,6,720,0,1949,0,98106,47.5274,-122.35700000000001,248500.0
141,2014-08-02,2.0,1.0,860,8250,1.0,False,3,7,860,0,1940,0,98133,47.7132,-122.334,345000.0
142,2014-10-16,4.0,3.5,3830,7150,2.0,False,3,9,3830,0,2014,0,98052,47.7049,-122.126,989990.0
143,2014-06-19,3.0,1.75,1840,5000,1.0,False,4,7,920,920,1910,0,98117,47.6808,-122.376,499000.0
144,2015-01-05,3.0,2.75,3470,9610,3.0,True,3,11,3470,0,1989,2000,98034,47.7205,-122.26,2150000.0
145,2015-03-26,4.0,2.5,4040,11350,2.0,False,4,10,3690,350,1984,0,98006,47.559,-122.162,1250000.0
146,2014-05-24,4.0,2.5,3670,7000,2.0,False,3,10,3670,0,2005,0,98075,47.5854,-122.08,820000.0
147,2015-04-08,4.0,2.5,2070,11286,2.0,False,3,8,2070,0,1996,0,98056,47.5284,-122.17299999999999,635000.0
148,2014-12-01,3.0,3.25,1370,1227,3.0,False,3,8,1370,0,2007,0,98103,47.6964,-122.34100000000001,375000.0
149,2014-07-21,3.0,2.5,2050,15020,1.0,False,3,9,1600,450,1960,0,98177,47.75899999999999,-122.37100000000001,760000.0
150,2014-08-18,4.0,2.0,1540,5920,1.5,False,5,7,1540,0,1935,0,98125,47.7148,-122.301,442500.0
151,2014-10-14,3.0,1.75,1270,10790,1.0,False,3,7,1270,0,1956,0,98033,47.6647,-122.177,403000.0
152,2014-10-03,2.0,1.0,820,288367,1.0,False,3,6,820,0,1930,1986,98042,47.4196,-122.165,295000.0
153,2015-04-10,3.0,2.25,1790,7500,1.0,False,3,7,1390,400,1973,0,98034,47.7321,-122.198,455000.0
154,2014-11-03,4.0,2.5,2590,9753,2.0,False,3,10,2590,0,1993,0,98075,47.5848,-122.027,674750.0
155,2015-04-10,4.0,2.5,2440,5737,2.0,False,4,8,1700,740,1929,0,98119,47.6472,-122.367,820000.0
156,2015-05-05,4.0,2.0,1580,7300,1.0,False,4,7,1580,0,1955,0,98155,47.7598,-122.32799999999999,405100.0
157,2015-04-09,4.0,2.5,2610,7333,2.0,False,3,8,2610,0,1988,0,98003,47.2721,-122.29299999999999,360000.0
158,2015-02-18,4.0,2.5,2320,12042,1.0,False,4,7,1320,1000,1975,0,98072,47.763000000000005,-122.16,470000.0
159,2014-11-13,3.0,1.0,950,3621,1.0,False,4,6,950,0,1947,0,98144,47.575,-122.289,390000.0
160,2015-04-07,3.0,1.0,950,4500,1.0,False,4,6,950,0,1943,0,98118,47.5273,-122.265,325000.0
161,2014-10-13,2.0,1.5,1710,4189,1.0,False,5,7,1160,550,1951,0,98136,47.5286,-122.383,453500.0
162,2014-08-22,2.0,1.0,1010,7500,1.0,False,3,7,1010,0,1941,0,98108,47.5283,-122.32,235000.0
163,2014-10-24,3.0,1.75,1510,11234,1.0,False,3,7,1210,300,1965,0,98155,47.7571,-122.32799999999999,279950.0
164,2014-10-14,4.0,2.0,2020,6867,1.0,False,5,8,1010,1010,1942,0,98115,47.7,-122.292,625000.0
165,2014-06-13,3.0,2.5,2860,4442,2.0,False,3,8,2860,0,2000,0,98199,47.661,-122.396,799000.0
166,2014-06-20,3.0,2.0,1510,7884,1.0,False,3,6,1510,0,1942,2014,98166,47.4683,-122.348,332000.0
167,2014-07-10,4.0,2.5,2640,25038,2.0,False,4,8,2640,0,1995,0,98056,47.5277,-122.17399999999999,657000.0
168,2014-06-19,3.0,1.75,1940,219527,1.0,False,3,7,1940,0,1991,0,98038,47.4214,-122.02,520000.0
169,2015-04-02,3.0,1.0,930,6572,1.0,False,3,7,930,0,1952,0,98115,47.6889,-122.301,392500.0
170,2014-07-29,4.0,2.5,2230,8500,2.0,False,3,8,2230,0,1994,0,98022,47.2082,-122.009,325000.0
171,2014-10-08,3.0,3.5,1560,2198,2.0,False,3,8,1180,380,2006,0,98116,47.5812,-122.40299999999999,560000.0
172,2014-12-16,4.0,2.5,2242,37451,2.0,False,3,8,2242,0,1995,0,98028,47.7443,-122.228,490000.0
173,2015-04-08,3.0,1.0,880,6664,1.0,False,3,6,880,0,1961,0,98033,47.6855,-122.199,550000.0
174,2014-12-18,2.0,2.25,1550,1824,2.0,False,3,8,1550,0,2007,0,98106,47.5396,-122.368,348500.0
175,2014-10-22,3.0,0.75,770,7000,1.0,False,3,4,770,0,1942,0,98024,47.5661,-121.887,205000.0
176,2015-04-14,3.0,2.5,2280,2296,3.0,False,3,9,1890,390,2013,0,98112,47.6256,-122.29899999999999,950000.0
177,2014-05-12,4.0,3.75,3280,11000,2.0,False,3,10,2320,960,2008,0,98033,47.6855,-122.20100000000001,1050000.0
178,2015-03-18,3.0,1.5,1400,7550,1.0,False,4,7,1400,0,1953,0,98133,47.7566,-122.337,415250.0
179,2015-05-05,4.0,1.75,2510,8989,1.0,False,4,8,1680,830,1964,0,98006,47.5569,-122.17200000000001,595000.0
180,2014-11-14,1.0,1.0,720,7140,1.0,False,3,6,720,0,1930,0,98146,47.5119,-122.339,199900.0
181,2014-09-25,3.0,1.5,1550,9126,1.0,False,5,7,1550,0,1957,0,98022,47.2012,-122.0,245000.0
182,2015-04-30,3.0,1.75,1630,7480,1.0,False,3,7,1330,300,1979,0,98058,47.4514,-122.15899999999999,291600.0
183,2014-05-28,3.0,1.75,1610,6480,1.0,False,4,7,1610,0,1947,0,98125,47.7137,-122.307,438750.0
184,2014-09-30,4.0,2.25,2380,5250,1.0,False,4,7,1410,970,1961,0,98008,47.6164,-122.115,527000.0
185,2014-07-16,5.0,3.0,2460,7240,1.0,False,3,9,1840,620,1991,0,98006,47.5486,-122.189,637000.0
186,2014-05-27,4.0,2.5,3250,235063,1.0,False,3,9,3250,0,1973,0,98092,47.2582,-122.113,293000.0
187,2014-06-24,3.0,2.5,1930,4500,2.0,False,3,8,1930,0,1990,0,98029,47.5791,-122.001,425000.0
188,2015-04-14,4.0,1.75,1870,6000,1.0,False,5,8,1670,200,1949,0,98199,47.6435,-122.399,700000.0
189,2014-06-27,3.0,2.5,2230,5348,2.0,False,3,8,2230,0,2000,0,98065,47.5347,-121.866,490000.0
190,2014-10-09,5.0,3.5,3600,9312,2.0,False,3,10,2680,920,2005,0,98052,47.6582,-122.12200000000001,817500.0
191,2015-02-09,4.0,2.25,3080,10487,2.0,False,4,9,3080,0,1968,0,98040,47.5344,-122.22399999999999,1165000.0
192,2015-01-27,3.0,2.0,2290,16258,1.0,False,5,8,2290,0,1960,0,98058,47.4672,-122.165,450000.0
193,2015-05-05,5.0,3.0,3640,28531,2.0,False,3,10,3640,0,1996,0,98006,47.5502,-122.13,1200690.0
194,2014-08-01,3.0,1.75,1610,7392,1.0,False,4,7,1610,0,1964,0,98001,47.3413,-122.28,160000.0
195,2014-06-11,3.0,2.5,1420,2581,3.0,False,3,7,1420,0,2004,0,98133,47.7027,-122.35700000000001,435000.0
196,2014-10-13,3.0,2.25,1650,7218,1.0,False,3,7,1230,420,1985,0,98133,47.7237,-122.335,359000.0
197,2014-12-02,3.0,1.75,1740,29597,1.0,False,4,7,1740,0,1965,0,98059,47.481,-122.115,350000.0
198,2014-11-20,4.0,2.75,2020,8093,1.0,False,5,7,1300,720,1961,0,98133,47.7685,-122.33200000000001,366000.0
199,2014-09-03,4.0,3.0,1730,7264,2.0,False,3,6,1730,0,1920,0,98168,47.4738,-122.264,265000.0
200,2014-12-19,3.0,2.5,2070,10908,2.0,False,3,8,2070,0,1986,0,98029,47.5665,-122.023,567000.0
201,2014-12-10,4.0,2.0,1610,6200,1.0,False,4,7,1610,0,1979,0,98198,47.3833,-122.306,243500.0
202,2014-05-19,3.0,1.0,1290,189486,1.0,False,4,7,1290,0,1960,0,98092,47.3356,-122.15700000000001,359950.0
203,2014-12-22,3.0,1.0,980,7606,1.0,False,3,7,980,0,1954,0,98188,47.4356,-122.29,221000.0
204,2014-05-27,4.0,2.25,1940,9144,1.0,False,4,7,1430,510,1956,0,98007,47.5942,-122.135,495000.0
205,2014-06-03,2.0,1.0,1170,10621,1.0,False,3,7,1170,0,1963,0,98045,47.497,-121.78,295000.0
206,2014-06-09,4.0,2.5,2170,14024,2.0,False,3,8,2170,0,1992,0,98019,47.7346,-121.97,442500.0
207,2015-02-05,4.0,3.5,3220,5741,2.0,False,3,9,3220,0,2013,0,98065,47.5169,-121.88600000000001,640000.0
208,2015-01-25,3.0,2.5,1780,4077,2.0,False,3,8,1780,0,2011,0,98038,47.3568,-122.056,312000.0
209,2015-05-04,3.0,2.25,2850,6281,2.0,False,4,7,1900,950,1947,0,98115,47.6911,-122.32600000000001,907500.0
210,2014-06-26,4.0,3.5,3370,5000,2.0,False,3,8,2470,900,2008,0,98126,47.5714,-122.38,900000.0
211,2015-02-20,3.0,1.5,1100,8140,1.0,False,4,7,1100,0,1965,0,98059,47.5004,-122.162,306500.0
212,2014-07-14,4.0,2.5,2880,8400,2.0,False,3,8,2050,830,1955,1987,98177,47.7704,-122.38600000000001,775000.0
213,2014-08-29,4.0,2.25,2920,20400,1.0,False,4,11,2920,0,1966,0,98004,47.6237,-122.228,1650000.0
214,2014-08-28,3.0,1.5,1300,7885,1.0,False,3,7,1300,0,1968,0,98055,47.4556,-122.209,263000.0
215,2014-12-10,3.0,1.0,1240,5400,1.0,False,4,7,1060,180,1940,0,98133,47.7115,-122.355,355000.0
216,2015-04-22,3.0,1.75,1560,3000,1.0,False,4,6,770,790,1918,0,98103,47.6846,-122.345,481000.0
217,2014-05-23,3.0,2.0,1560,4080,2.0,False,3,7,1560,0,1923,1982,98115,47.6892,-122.319,449950.0
218,2015-04-30,4.0,2.5,2960,4640,2.0,False,3,9,2960,0,2005,0,98038,47.3597,-122.04,426500.0
219,2014-10-23,1.0,1.0,1120,17332,1.0,False,3,7,1120,0,1988,0,98001,47.2972,-122.26700000000001,166000.0
220,2014-09-30,2.0,1.0,860,12160,1.0,False,4,6,860,0,1921,0,98106,47.5267,-122.361,310000.0
221,2014-08-05,3.0,1.75,2590,8384,1.0,False,4,8,1590,1000,1971,0,98011,47.7739,-122.199,485000.0
